Finding_ID,Finding Creation Date,Finding Status,Risk Type,Risk Severity,Probabilty,Effect,Audit Report Number
2022_009_001.002,4/15/2022,Tamamlandı,Finansal Risk,Yüksek,3,3,2022_009
2021_007_007.002,4/24/2021,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2021_007
2021_009_001.001,2/18/2021,Tamamlandı,Operasyonel Risk - Personel Kaynaklı Risk,Düşük,1,1,2021_009
2022_033_004.001,6/24/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,3,1,2022_033
2022_010_010.002,4/21/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_010
2021_016_001.002,6/7/2021,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_016
2021_020_008.001,7/8/2021,Tamamlandı,Finansal Risk,Düşük,1,2,2021_020
2021_002_009.002,3/29/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,1,2021_002
2021_037_006.011,12/3/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_037
2022_060_003.001,11/30/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,3,2,2022_060
2021_032_001.002,10/20/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Kritik,4,4,2021_032
