ProcessID,Process
1,Gelir Getirici Faaliyetler ve Tahsilat Süreçleri
2,Kalite Yönetim Sistemi ve Dökümantasyon Süreçleri
3,Yatırım Süreçleri
4,"İnsan Kaynakları Süreçleri,İSG Süreçleri"
5,İSG Süreçleri
6,Vergilendirme Süreçleri
7,Finansal İşlem ve Operasyon Süreçleri
8,Satınalma ve Ödeme Süreçleri
9,İnsan Kaynakları Süreçleri
10,"Üretim, Maliyet Hesapları ve Envanter Süreçleri"
11,IT Süreçleri
12,"İnsan Kaynakları Süreçleri,IT Süreçleri"
13,"Bütçeleme ve Bütçe Yönetim, Süreçleri"
14,Hazine ve Kasa Operasyonları Süreçleri
15,Fiziksel Güvenlik Süreçleri
16,"Üretim, Maliyet Hesapları ve Envanter Süreçleri,İSG Süreçleri"
17,İşletme Süreçleri
18,Masraf ve Gider Süreçleri
19,Duran Varlık Süreçleri
20,İdari İşler Süreçleri
21,Hukuk Süreçleri
