ID,EmployeeID,Timesheet Record Date,Topic,Working Hours,Category,Sub-Category,Detail
8422,27,9/12/2022,Verilen Teminat Mektupları Denetimi,0.5,Ön Hazırlık,Data Temini&Data Hazırlama,"Diğer (Sigara, wc, gazete okuma, vb.)"
6672,16,7/5/2022,İdari&Diğer,5.5,İdari,Diğer,QAR kapsamında çalışma kağıtları kontrolü
6418,16,6/28/2022,İdari&Diğer,8.5,İdari,Diğer,QAR kapsamında ÇK kontrolü
2429,26,3/2/2022,Diğer,1,Diğer,Sektörel Analiz Çalışmalarının Yapılması,2022 Enerji denetim planı ile ilgili Hikmet Apaydın ile görüşme
3257,5,3/21/2022,EPSAŞ - Kalite Tazminat Ödemeleri,3,İnceleme,Toplantı (Şirket Yöneticileri),"Hayriye Seyhan ile rapor çekimi, raporların oluşturulması"
6245,8,6/22/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,1.5,Ön Hazırlık,Doküman Tarama,Eski satın alma raporunun okunması RK maddelerinin çıkarılması
9785,1,11/2/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,1,İnceleme,Toplantı (Şirket Yöneticileri),Üretim Planlama Denetimi kapsamında ilgili birim yöneticileri ile kapanış toplantısı gerçekleştirildi.
6345,14,6/21/2022,BOLU GÖYNÜK TERMİK SANTRAL HAKEDİŞ SÜREÇLERİ TEKNİK DENETİMİ,8.5,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),BOLU GÖYNÜK TERMİK SANTRAL HAKEDİŞ SÜREÇLERİ TEKNİK DENETİMİ- DÖKÜMAN İNCELEME
5456,8,4/29/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,0.5,İnceleme,Çalışma Kağıtlarının Kontrolü,çalışma kağıtlarına ilişkin yapılan telefon ve mail trafiği
12118,9,2/21/2023,Bağlantı Operasyon Süreçleri Denetimi,1,İnceleme,Toplantı (Ekip İçi),Ekip içi toplantı
12616,7,3/22/2023,Holding ve bağlı şirketlerinde gider kalemlerinin incelenmesi,8.5,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),Gider denetimi datalarının hazırlanması
12428,30,2/28/2023,İdari,2,İdari,Diğer,Açık bulgulara ilişkin talep edilen çalışmanın yapılması
